Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0054215,2012-10-09,2012-10-09,,Psycho,https://www.imdb.com/title/tt0054215/,movie,8.5,109,1960,Horror Mystery Thriller,491456,1960-06-16,Alfred Hitchcock
2,tt0056592,2012-10-09,2012-10-09,,To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/,movie,8.3,129,1962,Crime Drama,252225,1962-12-25,Robert Mulligan
3,tt0064665,2012-10-09,2012-10-09,,Midnight Cowboy,https://www.imdb.com/title/tt0064665/,movie,7.9,113,1969,Drama,84935,1969-05-25,John Schlesinger
4,tt0060196,2012-10-09,2012-10-09,,Il buono il brutto il cattivo,https://www.imdb.com/title/tt0060196/,movie,8.9,161,1966,Western,574956,1966-12-23,Sergio Leone
5,tt0065214,2012-10-09,2012-10-09,,The Wild Bunch,https://www.imdb.com/title/tt0065214/,movie,8,135,1969,Action Adventure Western,68516,1969-06-18,Sam Peckinpah
6,tt0053604,2012-10-09,2012-10-09,,The Apartment,https://www.imdb.com/title/tt0053604/,movie,8.3,125,1960,Comedy Drama Romance,130543,1960-06-15,Billy Wilder
7,tt0055614,2012-10-09,2012-10-09,,West Side Story,https://www.imdb.com/title/tt0055614/,movie,7.6,153,1961,Crime Drama Musical Romance,81573,1961-10-18,Jerome Robbins Robert Wise
8,tt0061512,2012-10-09,2012-10-09,,Cool Hand Luke,https://www.imdb.com/title/tt0061512/,movie,8.1,126,1967,Crime Drama,137861,1967-11-01,Stuart Rosenberg
9,tt0059113,2012-10-09,2012-10-09,,Doctor Zhivago,https://www.imdb.com/title/tt0059113/,movie,8,197,1965,Drama Romance War,61056,1965-12-22,David Lean
10,tt0058182,2012-10-09,2012-10-09,,A Hard Day's Night,https://www.imdb.com/title/tt0058182/,movie,7.7,87,1964,Comedy Music Musical,34725,1964-07-06,Richard Lester
11,tt0058898,2012-10-09,2012-10-09,,Alphaville une étrange aventure de Lemmy Caution,https://www.imdb.com/title/tt0058898/,movie,7.2,99,1965,Drama Mystery Sci-Fi Thriller,18976,1965-05-05,Jean-Luc Godard
12,tt0056262,2012-10-09,2012-10-09,,The Music Man,https://www.imdb.com/title/tt0056262/,movie,7.7,151,1962,Comedy Musical Romance,14037,1962-06-19,Morton DaCosta
13,tt0054331,2012-10-09,2012-10-09,,Spartacus,https://www.imdb.com/title/tt0054331/,movie,7.9,197,1960,Adventure Biography Drama History War,107551,1960-10-06,Stanley Kubrick
14,tt0054167,2012-10-09,2012-10-09,,Peeping Tom,https://www.imdb.com/title/tt0054167/,movie,7.7,101,1960,Drama Horror Thriller,24830,1960-04-07,Michael Powell
15,tt0058450,2012-10-09,2012-10-09,,Les parapluies de Cherbourg,https://www.imdb.com/title/tt0058450/,movie,7.8,91,1964,Drama Musical Romance,18476,1964-02-19,Jacques Demy
16,tt0059742,2012-10-09,2012-10-09,,The Sound of Music,https://www.imdb.com/title/tt0059742/,movie,8,172,1965,Biography Drama Family Musical Romance,168294,1965-03-02,Robert Wise
18,tt0061811,2012-10-09,2012-10-09,,In the Heat of the Night,https://www.imdb.com/title/tt0061811/,movie,8,110,1967,Crime Drama Mystery Thriller,56361,1967-08-02,Norman Jewison
18,tt0060668,2012-10-09,2012-10-09,,Marat/Sade,https://www.imdb.com/title/tt0060668/,movie,7.6,116,1967,Drama History Music,2028,1967-02-22,Peter Brook
19,tt0060176,2012-10-09,2012-10-09,,Blowup,https://www.imdb.com/title/tt0060176/,movie,7.6,111,1966,Drama Mystery Thriller,47232,1966-12-18,Michelangelo Antonioni
20,tt0056869,2012-10-09,2012-10-09,,The Birds,https://www.imdb.com/title/tt0056869/,movie,7.7,119,1963,Drama Horror Mystery Romance,145442,1963-03-28,Alfred Hitchcock
21,tt0057590,2012-10-09,2012-10-09,,Tom Jones,https://www.imdb.com/title/tt0057590/,movie,6.7,128,1963,Adventure Comedy History,9541,1963-06-26,Tony Richardson
22,tt0063350,2012-10-09,2012-10-09,,Night of the Living Dead,https://www.imdb.com/title/tt0063350/,movie,7.9,96,1968,Horror,98469,1968-10-01,George A. Romero
23,tt0054997,2012-10-09,2012-10-09,,The Hustler,https://www.imdb.com/title/tt0054997/,movie,8,134,1961,Drama Sport,67783,1961-09-25,Robert Rossen
24,tt0058385,2012-10-09,2012-10-09,,My Fair Lady,https://www.imdb.com/title/tt0058385/,movie,7.9,170,1964,Drama Family Musical Romance,74999,1964-10-21,George Cukor
25,tt0058150,2012-10-09,2012-10-09,,Goldfinger,https://www.imdb.com/title/tt0058150/,movie,7.7,110,1964,Action Adventure Thriller,151221,1964-09-17,Guy Hamilton
26,tt0058625,2012-10-09,2012-10-09,,Suna no onna,https://www.imdb.com/title/tt0058625/,movie,8.5,123,1964,Drama Thriller,13461,1964-02-15,Hiroshi Teshigahara
27,tt0056217,2012-10-09,2012-10-09,,The Man Who Shot Liberty Valance,https://www.imdb.com/title/tt0056217/,movie,8.1,123,1962,Drama Western,59186,1962-04-13,John Ford
28,tt0060802,2012-10-09,2012-10-09,,Ostre sledované vlaky,https://www.imdb.com/title/tt0060802/,movie,7.8,93,1966,Comedy Drama Romance War,9463,1966-10-16,Jirí Menzel
29,tt0054248,2012-10-09,2012-10-09,,Rocco e i suoi fratelli,https://www.imdb.com/title/tt0054248/,movie,8.3,177,1960,Crime Drama Sport,13080,1960-09-06,Luchino Visconti
30,tt0054698,2012-10-09,2012-10-09,,Breakfast at Tiffany's,https://www.imdb.com/title/tt0054698/,movie,7.7,115,1961,Comedy Drama Romance,141439,1961-10-05,Blake Edwards
31,tt0056197,2012-10-09,2012-10-09,,The Longest Day,https://www.imdb.com/title/tt0056197/,movie,7.8,178,1962,Action Drama History War,46862,1962-09-25,Andrew Marton Ken Annakin Darryl F. Zanuck Bernhard Wicki Gerd Oswald
32,tt0062138,2012-10-09,2012-10-09,,Point Blank,https://www.imdb.com/title/tt0062138/,movie,7.4,92,1967,Crime Thriller,15301,1967-08-30,John Boorman
33,tt0063385,2012-10-09,2012-10-09,,Oliver!,https://www.imdb.com/title/tt0063385/,movie,7.5,153,1968,Drama Family Musical,29165,1968-04-28,Carol Reed
34,tt0055031,2012-10-09,2012-10-09,,Judgment at Nuremberg,https://www.imdb.com/title/tt0055031/,movie,8.3,186,1961,Drama War,55968,1961-12-14,Stanley Kramer
35,tt0061578,2012-10-09,2012-10-09,,The Dirty Dozen,https://www.imdb.com/title/tt0061578/,movie,7.8,150,1967,Action Adventure War,58369,1967-06-15,Robert Aldrich
36,tt0058025,2012-10-09,2012-10-09,,Dog Star Man: Part I,https://www.imdb.com/title/tt0058025/,short,6.5,30,1962,Short,1262,2004-03-09,Stan Brakhage
37,tt0058331,2012-10-09,2012-10-09,,Mary Poppins,https://www.imdb.com/title/tt0058331/,movie,7.8,139,1964,Comedy Family Fantasy Musical,123800,1964-08-27,Robert Stevenson
38,tt0055353,2012-10-09,2012-10-09,,A Raisin in the Sun,https://www.imdb.com/title/tt0055353/,movie,8.1,128,1961,Drama,5578,1961-05-29,Daniel Petrie
39,tt0063518,2012-10-09,2012-10-09,,Romeo and Juliet,https://www.imdb.com/title/tt0063518/,movie,7.6,138,1968,Drama Romance,25813,1968-03-04,Franco Zeffirelli
40,tt0059527,2012-10-09,2012-10-09,,Obchod na korze,https://www.imdb.com/title/tt0059527/,movie,8.1,128,1965,Drama,6806,1965-05-20,Elmar Klos Ján Kadár
41,tt0062994,2012-10-09,2012-10-09,,Funny Girl,https://www.imdb.com/title/tt0062994/,movie,7.6,151,1968,Biography Comedy Drama Musical Romance,15224,1968-09-18,William Wyler
